id,text,sdg,label,osdg_text_id,doi,comment
e0ab386,"The Ministry of Education is charged with the shaping of the education system through the development of curricula, national objectives and guidelines. Within this framework, municipalities and independent providers implement educational activities, organise school services, allocate resources and ensure that educational goals are met. Individual districts and schools are then entrusted with a large degree of autonomy to organise local schooling.",3,FALSE,0818757b20c2aba34010f788c173aae2,10.1787/5jrxr7qx6ctb-en,
9177b53,"Most of the local government institutions lack the capacity required to implement the policy, legislation and associated programmes. Local bodies are not financially independent and they have no autonomy in decision-making. They are financially dependent on grants from the central Government, as locally mobilized resources (mainly from property taxes) are often insufficient even for their basic operation, let alone for public services. Thus, local bodies depend on the centre for policies, plans, financial resources, human resources and even for budgetary decisions, which severely restricts the creativity and innovativeness of local leaders. Moreover, local leaders lack adequate knowledge and proper training to become visionary with regard to the socio-economic development of their locality.",3,FALSE,75ffe54da493c0c0386ec743936fcac3,10.18356/9bf8d10f-en,
8dd268f,"Brisbane: School of Population Health, University of Queensland. The first version of this model was developed to study the impact of type 2 diabetes on the Australian population including health, health expenditures and broader economic impacts, such as changes in employment and productivity. The model was used to test the potential future impact of various policy interventions to reduce the future burden of diabetes for the purpose of improved decision-making regarding population health investment, work-force participation and productivity.",3,TRUE,1762b9d205f3469e49a41f49c5013a96,10.1787/5k912j389bf0-en,
9b237c8,"Authorship is usually collective, but principal writers are named. The papers are generally available only in their original language - English or French - with a summary in the other. The opinions expressed and arguments employed are those of the author(s). Comments on Working Papers are welcomed, and may be sent to the Directorate for Employment, Labour and Social Affairs OECD, 2 rue Andre-Pascal, 75775 Paris Cedex 16, France. The author remains responsible for any errors and omissions. The opinions expressed in the paper are the responsibility of the author and do not necessarily reflect those of the OECD or its Member Countries.",3,FALSE,71ae45772c45fb798c426929863b7c89,10.1787/5jz158xmxkwj-en,fixed typo in text
52f8fc8,"This is a limiting structure, as real-world events occur in continuous time, and more importantly, some decisions/transitions are joint, or occur together. The model also has no labour-supply dimension. There are models for labour-force participation, unemployment and retirement but no model of hours worked and the variables that influence those hours, including the family budget, tax rates, and health. Changes in the macro economy can be entered into the model as a scenario, however, there is no general equilibrium mechanism within the model itself.",3,FALSE,9085d47088d62046288ae87a99f44f73,10.1787/5k912j389bf0-en,
9c41e3c,"Young people who are proficient in the Sami language and culture enjoy a more liberated and less politicized definition of ""Saminess"" than did the preceding generation. Many adolescent Sami express a complex identity including Norwegian, Swedish or Finnish and Sami culture and language, some identify themselves with another ethnicity as well. Many of the younger Sami are from families where their parents' and grandparents' generations were the targets of force assimilation policies.",3,FALSE,da76dbc1be60f146ef3453a084ac31a2,10.18356/6c96c7f1-en,
c45191f,"The review of models in this paper highlights emerging systems of models where different modelling approaches are designed to work together coherently. In this way, techniques w'ith different strengths are amalgamated and a broader range of policy questions may be explored. Examples include the system of models developed by the U.S. Congressional Budget Office and by the University of Canberra and Monash University in Australia.",3,FALSE,e0d75a97d79748b9a94e0bc5cfbb71df,10.1787/5k912j389bf0-en,fixed typo in text
49a8444,"Dialogue with Donors on Urban Poverty Issues (Dhaka, CARE Bangladesh). Slums of Urban Bangladesh: Mapping and Census, 2005” (Dhaka and Chapel Hill, USA). Urban poverty and the working poor: Facing the challenges of urbanization and urban poverty in Asia and the Pacific”, Committee on Poverty Reduction, 24 September (E/ESCAP/C PR(4)/4).",3,FALSE,3d427e2a87a5b9d387b04b6e325c0b79,10.18356/9bf8d10f-en,
b269197,"A strict concept of novelty will normally result in the rejection of product patents for new uses. This may be stated in express terms in a country’s patent law or in regulations, resulting in an a priori rejection of the novelty test for product claims of new uses of known products. As regards the protection under a process patent, however, the situation is more complex. Whether or not a new use is obvious is case-specific and cannot generally be anticipated in a domestic patent law, but has to be left to a case-by-case examination.",3,FALSE,46e26418eff049f0c6ad854f8357076f,10.18356/7d5576e0-en,
3ac5700,"About half of all NEETs are below 25, although 15-19 year-olds are much less likely to be NEETs than 20-24 and 25-29 year-olds. The proportion of 15-19 year-old NEETs ranges from 7% in Slovenia and 9% in the Slovak Republic to 28% in Mexico and 27% in Chile and Sweden. Numbers are for individuals aged 15-29 years, for the United States, the age range considered is 16-24 because no information on student status is available for individuals aged 25 years and above. Data are for 2011 except for Canada (2009), Ireland (2010) and Mexico (2012).",3,FALSE,4a91d41963b63a4992c4d4e28cd0521e,10.1787/9789264233775-6-en,
